Q06,C001,C1
Q06,C005,C1
Q06,C009,C1
Q06,C010,"C1,C5"
Q06,C011,C1
Q06,C012,C1
Q06,C014,C1
Q06,C015,C1
Q06,C017,C1
Q06,C018,C1
Q06,C020,C1
Q06,C021,C1
Q06,C022,C1
Q06,C023,C1
Q06,C031,C1
Q06,C033,"C1,C4"
Q06,C038,C1
Q06,C039,C1
Q06,C041,"C1,C4"
Q06,C042,C1
Q06,C043,"C1,C4"
Q06,C044,C1
Q06,C045,C1
Q06,C046,C1
Q06,C047,C1
Q06,C048,C1
Q06,C050,C1
Q06,C051,C1
Q06,C053,C1
Q06,C054,C1
Q06,C057,C1
Q06,C058,C1
Q06,C059,C1
Q06,C060,"C1,C4"
Q06,C061,C1
Q06,C063,C1
Q06,C064,C1
Q06,C066,"C1,C5"
Q06,C070,C1
Q06,C074,C1
Q06,C077,"C1,C5"
Q06,C079,C1
Q06,C080,C1
Q06,C085,C1
Q06,C086,C1
Q06,C087,C1
Q06,C090,C1
Q06,C096,C1
Q06,C097,C1
Q06,C098,C1
Q06,C099,"C1,C4"
Q06,C100,C2
Q06,C101,C2
Q06,C102,C2
